,nid,pitch,onset,duration,ts,label,rid
0,0.0,76.0,-1.0,0.5,2,0.0,
1,1.0,79.0,-1.0,0.5,2,0.0,
2,2.0,76.0,-0.5,0.5,2,0.0,
3,3.0,79.0,-0.5,0.5,2,0.0,
4,4.0,72.0,0.0,0.5,2,1.0,
5,5.0,76.0,0.0,0.5,2,1.0,
6,6.0,57.0,0.0,0.5,2,1.0,
7,7.0,60.0,0.0,0.5,2,1.0,
8,8.0,57.0,0.5,0.5,2,0.0,
9,9.0,60.0,0.5,0.5,2,0.0,
10,10.0,74.0,1.0,0.5,2,0.0,
11,11.0,77.0,1.0,0.5,2,0.0,
12,12.0,53.0,1.0,0.5,2,0.0,
13,13.0,57.0,1.0,0.5,2,0.0,
14,14.0,74.0,1.5,0.5,2,0.0,
15,15.0,77.0,1.5,0.5,2,0.0,
16,16.0,71.0,2.0,0.5,2,1.0,
17,17.0,74.0,2.0,0.5,2,1.0,
18,18.0,55.0,2.0,0.5,2,1.0,
19,19.0,59.0,2.0,0.5,2,1.0,
20,20.0,55.0,2.5,0.5,2,0.0,
21,21.0,59.0,2.5,0.5,2,0.0,
22,22.0,72.0,3.0,0.25,2,0.0,
23,23.0,52.0,3.0,0.5,2,0.0,
24,24.0,55.0,3.0,0.5,2,0.0,
25,25.0,74.0,3.25,0.25,2,0.0,
26,26.0,76.0,3.5,0.25,2,0.0,
27,27.0,72.0,3.75,0.25,2,0.0,
28,28.0,69.0,4.0,0.25,2,1.0,
29,29.0,53.0,4.0,1.5,2,1.0,
30,30.0,71.0,4.25,0.25,2,0.0,
31,31.0,72.0,4.5,0.25,2,0.0,
32,32.0,73.0,4.75,0.25,2,0.0,
33,33.0,74.0,5.0,0.25,2,0.0,
34,34.0,76.0,5.25,0.25,2,0.0,
35,35.0,77.0,5.5,0.25,2,0.0,
36,36.0,50.0,5.5,0.5,2,0.0,
37,37.0,74.0,5.75,0.25,2,0.0,
38,38.0,72.0,6.0,0.25,2,1.0,
39,39.0,55.0,6.0,1.0,2,1.0,
40,40.0,71.0,6.25,0.25,2,0.0,
41,41.0,69.0,6.5,0.25,2,0.0,
42,42.0,67.0,6.75,0.25,2,0.0,
43,43.0,76.0,7.0,0.5,2,0.0,
44,44.0,79.0,7.0,0.5,2,0.0,
45,45.0,76.0,7.5,0.5,2,0.0,
46,46.0,79.0,7.5,0.5,2,0.0,
47,47.0,72.0,8.0,0.5,2,1.0,
48,48.0,76.0,8.0,0.5,2,1.0,
49,49.0,57.0,8.0,0.5,2,1.0,
50,50.0,60.0,8.0,0.5,2,1.0,
51,51.0,57.0,8.5,0.5,2,0.0,
52,52.0,60.0,8.5,0.5,2,0.0,
53,53.0,77.0,9.0,0.5,2,0.0,
54,54.0,81.0,9.0,0.5,2,0.0,
55,55.0,50.0,9.0,0.5,2,0.0,
56,56.0,53.0,9.0,0.5,2,0.0,
57,57.0,77.0,9.5,0.5,2,0.0,
58,58.0,81.0,9.5,0.5,2,0.0,
59,59.0,71.0,10.0,0.5,2,1.0,
60,60.0,74.0,10.0,0.5,2,1.0,
61,61.0,55.0,10.0,0.5,2,1.0,
62,62.0,59.0,10.0,0.5,2,1.0,
63,63.0,55.0,10.5,0.5,2,0.0,
64,64.0,59.0,10.5,0.5,2,0.0,
65,65.0,81.0,11.0,0.25,2,0.0,
66,66.0,48.0,11.0,0.5,2,0.0,
67,67.0,52.0,11.0,0.5,2,0.0,
68,68.0,79.0,11.25,0.25,2,0.0,
69,69.0,77.0,11.5,0.25,2,0.0,
70,70.0,76.0,11.75,0.25,2,0.0,
