,nid,pitch,onset,duration,ts,label,rid
0,0.0,77.0,0.0,0.75,2,1.0,
1,1.0,58.0,0.5,0.5,2,0.0,
2,2.0,74.0,0.75,0.25,2,0.0,
3,3.0,70.0,1.0,0.5,2,0.0,
4,4.0,62.0,1.0,0.5,2,0.0,
5,5.0,70.0,1.5,0.5,2,0.0,
6,6.0,67.0,1.5,0.5,2,0.0,
7,7.0,75.0,2.0,0.5,2,1.0,
8,8.0,60.0,2.0,0.5,2,1.0,
9,9.0,79.0,2.5,0.5,2,0.0,
10,10.0,63.0,2.5,0.5,2,0.0,
11,11.0,69.0,3.0,0.5,2,0.0,
12,12.0,65.0,3.0,0.5,2,0.0,
13,13.0,63.0,3.5,0.5,2,0.0,
14,14.0,72.0,4.0,0.25,2,1.0,
15,15.0,62.0,4.0,0.5,2,1.0,
16,16.0,70.0,4.25,0.25,2,0.0,
17,17.0,74.0,4.5,0.25,2,0.0,
18,18.0,57.0,4.5,0.5,2,0.0,
19,19.0,72.0,4.75,0.25,2,0.0,
20,20.0,75.0,5.0,0.25,2,0.0,
21,21.0,58.0,5.0,0.5,2,0.0,
22,22.0,74.0,5.25,0.25,2,0.0,
23,23.0,77.0,5.5,0.25,2,0.0,
24,24.0,51.0,5.5,0.5,2,0.0,
25,25.0,60.0,5.5,0.5,2,0.0,
26,26.0,75.0,5.75,0.25,2,0.0,
27,27.0,74.0,6.0,0.75,2,1.0,
28,28.0,53.0,6.0,1.0,2,1.0,
29,29.0,58.0,6.0,1.0,2,1.0,
30,30.0,75.0,6.75,0.125,2,0.0,
31,31.0,74.0,6.875,0.125,2,0.0,
32,32.0,72.0,7.0,0.25,2,0.0,
33,33.0,53.0,7.0,0.5,2,0.0,
34,34.0,57.0,7.0,0.5,2,0.0,
35,35.0,74.0,7.25,0.25,2,0.0,
36,36.0,75.0,7.5,0.25,2,0.0,
37,37.0,76.0,7.75,0.25,2,0.0,
38,38.0,77.0,8.0,0.75,2,1.0,
39,39.0,58.0,8.5,0.5,2,0.0,
40,40.0,75.0,8.75,0.083333336,2,0.0,
41,41.0,74.0,8.833333,0.083333336,2,0.0,
42,42.0,72.0,8.916667,0.083333336,2,0.0,
43,43.0,70.0,9.0,0.5,2,0.0,
44,44.0,62.0,9.0,0.5,2,0.0,
45,45.0,70.0,9.5,0.5,2,0.0,
46,46.0,67.0,9.5,0.5,2,0.0,
47,47.0,75.0,10.0,0.5,2,1.0,
48,48.0,60.0,10.0,0.5,2,1.0,
49,49.0,79.0,10.5,0.5,2,0.0,
50,50.0,63.0,10.5,0.5,2,0.0,
51,51.0,69.0,11.0,0.5,2,0.0,
52,52.0,65.0,11.0,0.5,2,0.0,
53,53.0,63.0,11.5,0.5,2,0.0,
54,54.0,69.0,11.75,0.25,2,0.0,
55,55.0,70.0,12.0,0.25,2,1.0,
56,56.0,62.0,12.0,0.5,2,1.0,
57,57.0,74.0,12.25,0.25,2,0.0,
58,58.0,67.0,12.5,0.25,2,0.0,
59,59.0,51.0,12.5,0.5,2,0.0,
60,60.0,63.0,12.5,0.5,2,0.0,
61,61.0,72.0,12.75,0.25,2,0.0,
62,62.0,70.0,13.0,0.5,2,0.0,
63,63.0,62.0,13.0,0.5,2,0.0,
64,64.0,53.0,13.0,1.0,2,0.0,
65,65.0,69.0,13.5,0.5,2,0.0,
66,66.0,60.0,13.5,0.5,2,0.0,
67,67.0,70.0,14.0,0.25,2,1.0,
68,68.0,58.0,14.0,0.5,2,1.0,
69,69.0,65.0,14.25,0.25,2,0.0,
70,70.0,67.0,14.5,0.25,2,0.0,
71,71.0,69.0,14.75,0.25,2,0.0,
72,72.0,70.0,15.0,0.25,2,0.0,
73,73.0,72.0,15.25,0.25,2,0.0,
74,74.0,74.0,15.5,0.25,2,0.0,
75,75.0,75.0,15.75,0.25,2,0.0,
76,76.0,77.0,16.0,0.75,2,1.0,
77,77.0,58.0,16.0,0.25,2,1.0,
78,78.0,65.0,16.25,0.25,2,0.0,
79,79.0,62.0,16.5,0.25,2,0.0,
80,80.0,74.0,16.75,0.25,2,0.0,
81,81.0,65.0,16.75,0.25,2,0.0,
82,82.0,70.0,17.0,0.5,2,0.0,
83,83.0,55.0,17.0,0.25,2,0.0,
84,84.0,62.0,17.25,0.25,2,0.0,
85,85.0,70.0,17.5,0.5,2,0.0,
86,86.0,58.0,17.5,0.25,2,0.0,
87,87.0,62.0,17.75,0.25,2,0.0,
88,88.0,75.0,18.0,0.5,2,1.0,
89,89.0,51.0,18.0,0.25,2,1.0,
90,90.0,60.0,18.25,0.25,2,0.0,
91,91.0,79.0,18.5,0.5,2,0.0,
92,92.0,55.0,18.5,0.25,2,0.0,
93,93.0,77.0,18.5,0.0,2,0.0,
94,94.0,75.0,18.5,0.0,2,0.0,
95,95.0,74.0,18.5,0.0,2,0.0,
96,96.0,75.0,18.5,0.0,2,0.0,
97,97.0,60.0,18.75,0.25,2,0.0,
98,98.0,69.0,19.0,0.5,2,0.0,
99,99.0,53.0,19.0,0.25,2,0.0,
100,100.0,63.0,19.25,0.25,2,0.0,
101,101.0,60.0,19.5,0.25,2,0.0,
102,102.0,63.0,19.75,0.25,2,0.0,
103,103.0,72.0,20.0,0.25,2,1.0,
104,104.0,62.0,20.0,0.5,2,1.0,
105,105.0,70.0,20.25,0.25,2,0.0,
106,106.0,74.0,20.5,0.25,2,0.0,
107,107.0,65.0,20.5,1.0,2,0.0,
108,108.0,57.0,20.5,0.5,2,0.0,
109,109.0,72.0,20.75,0.25,2,0.0,
110,110.0,75.0,21.0,0.25,2,0.0,
111,111.0,58.0,21.0,0.5,2,0.0,
112,112.0,74.0,21.25,0.25,2,0.0,
113,113.0,77.0,21.5,0.25,2,0.0,
114,114.0,60.0,21.5,0.5,2,0.0,
115,115.0,51.0,21.5,0.5,2,0.0,
116,116.0,75.0,21.75,0.25,2,0.0,
117,117.0,74.0,22.0,0.75,2,1.0,
118,118.0,53.0,22.0,1.5,2,1.0,
119,119.0,58.0,22.0,1.0,2,1.0,
120,120.0,75.0,22.75,0.125,2,0.0,
