,nid,pitch,onset,duration,ts,label,rid
0,0.0,84.0,-1.0,0.5,3,0.0,
1,1.0,81.0,-0.5,0.5,3,0.0,
2,2.0,77.0,0.0,1.0,3,1.0,
3,3.0,77.0,1.0,1.0,3,0.0,
4,4.0,77.0,2.0,1.0,3,0.0,
5,5.0,82.0,3.0,1.0,3,1.0,
6,6.0,67.0,3.0,1.0,3,1.0,
7,7.0,72.0,3.0,1.0,3,1.0,
8,8.0,76.0,3.0,0.0,3,1.0,
9,9.0,81.0,6.0,1.0,3,1.0,
10,10.0,65.0,6.0,1.0,3,1.0,
11,11.0,72.0,6.0,1.0,3,1.0,
12,12.0,77.0,6.0,0.0,3,1.0,
13,13.0,79.0,9.0,1.0,3,1.0,
14,14.0,70.0,9.0,1.0,3,1.0,
15,15.0,72.0,9.0,1.0,3,1.0,
16,16.0,76.0,9.0,0.0,3,1.0,
17,17.0,77.0,12.0,0.5,3,1.0,
18,18.0,69.0,12.0,3.0,3,1.0,
19,19.0,79.0,12.5,0.5,3,0.0,
20,20.0,81.0,13.0,0.5,3,0.0,
21,21.0,77.0,13.5,0.5,3,0.0,
22,22.0,72.0,14.0,0.5,3,0.0,
23,23.0,73.0,14.5,0.5,3,0.0,
24,24.0,74.0,15.0,0.5,3,1.0,
25,25.0,70.0,15.0,1.0,3,1.0,
26,26.0,76.0,15.5,0.5,3,0.0,
27,27.0,77.0,16.0,0.5,3,0.0,
28,28.0,74.0,16.5,0.5,3,0.0,
29,29.0,67.0,17.0,0.5,3,0.0,
30,30.0,69.0,17.5,0.5,3,0.0,
31,31.0,70.0,18.0,0.5,3,1.0,
32,32.0,55.0,18.0,1.0,3,1.0,
33,33.0,72.0,18.5,0.5,3,0.0,
34,34.0,74.0,19.0,0.5,3,0.0,
35,35.0,58.0,19.0,1.0,3,0.0,
36,36.0,70.0,19.5,0.5,3,0.0,
37,37.0,62.0,20.0,0.5,3,0.0,
38,38.0,59.0,20.0,1.0,3,0.0,
39,39.0,65.0,20.5,0.5,3,0.0,
40,40.0,64.0,21.0,0.5,3,1.0,
41,41.0,60.0,21.0,1.0,3,1.0,
42,42.0,65.0,21.5,0.5,3,0.0,
43,43.0,67.0,22.0,0.5,3,0.0,
44,44.0,64.0,22.5,0.5,3,0.0,
45,45.0,72.0,23.0,0.5,3,0.0,
46,46.0,69.0,23.5,0.5,3,0.0,
47,47.0,65.0,24.0,1.0,3,1.0,
48,48.0,65.0,25.0,1.0,3,0.0,
49,49.0,65.0,26.0,1.0,3,0.0,
50,50.0,70.0,27.0,1.0,3,1.0,
51,51.0,55.0,27.0,1.0,3,1.0,
52,52.0,60.0,27.0,1.0,3,1.0,
53,53.0,64.0,27.0,0.0,3,1.0,
54,54.0,69.0,30.0,1.0,3,1.0,
55,55.0,53.0,30.0,1.0,3,1.0,
56,56.0,60.0,30.0,1.0,3,1.0,
57,57.0,65.0,30.0,0.0,3,1.0,
58,58.0,67.0,33.0,1.0,3,1.0,
59,59.0,58.0,33.0,1.0,3,1.0,
60,60.0,60.0,33.0,1.0,3,1.0,
61,61.0,64.0,33.0,0.0,3,1.0,
62,62.0,65.0,36.0,0.5,3,1.0,
63,63.0,45.0,36.0,3.0,3,1.0,
64,64.0,57.0,36.0,3.0,3,1.0,
65,65.0,67.0,36.5,0.5,3,0.0,
66,66.0,69.0,37.0,0.5,3,0.0,
67,67.0,70.0,37.5,0.5,3,0.0,
68,68.0,72.0,38.0,0.5,3,0.0,
69,69.0,73.0,38.5,0.5,3,0.0,
70,70.0,74.0,39.0,0.5,3,1.0,
71,71.0,46.0,39.0,1.0,3,1.0,
72,72.0,58.0,39.0,1.0,3,1.0,
73,73.0,76.0,39.5,0.5,3,0.0,
74,74.0,77.0,40.0,0.5,3,0.0,
75,75.0,79.0,40.5,0.5,3,0.0,
76,76.0,81.0,41.0,0.5,3,0.0,
77,77.0,82.0,41.5,0.5,3,0.0,
78,78.0,84.0,42.0,1.0,3,1.0,
79,79.0,69.0,43.0,1.0,3,0.0,
80,80.0,77.0,43.0,1.0,3,0.0,
81,81.0,60.0,43.0,1.0,3,0.0,
82,82.0,67.0,44.0,1.0,3,0.0,
83,83.0,76.0,44.0,1.0,3,0.0,
84,84.0,48.0,44.0,1.0,3,0.0,
85,85.0,69.0,45.0,2.0,3,1.0,
86,86.0,77.0,45.0,2.0,3,1.0,
87,87.0,53.0,45.0,1.0,3,1.0,
88,88.0,41.0,46.0,1.0,3,0.0,
89,89.0,41.0,47.0,1.0,3,0.0,
90,90.0,62.0,48.0,1.0,3,1.0,
91,91.0,70.0,48.0,1.0,3,1.0,
92,92.0,41.0,48.0,1.0,3,1.0,
93,93.0,60.0,49.0,1.0,3,0.0,
94,94.0,69.0,49.0,1.0,3,0.0,
95,95.0,41.0,49.0,1.0,3,0.0,
96,96.0,58.0,50.0,1.0,3,0.0,
97,97.0,67.0,50.0,1.0,3,0.0,
98,98.0,41.0,50.0,1.0,3,0.0,
99,99.0,58.0,51.0,1.0,3,1.0,
100,100.0,67.0,51.0,1.0,3,1.0,
101,101.0,41.0,51.0,1.0,3,1.0,
102,102.0,57.0,52.0,1.0,3,0.0,
103,103.0,65.0,52.0,1.0,3,0.0,
104,104.0,41.0,52.0,1.0,3,0.0,
105,105.0,57.0,53.0,1.0,3,0.0,
106,106.0,65.0,53.0,1.0,3,0.0,
107,107.0,41.0,53.0,1.0,3,0.0,
108,108.0,57.0,54.0,1.0,3,1.0,
109,109.0,65.0,54.0,1.0,3,1.0,
110,110.0,41.0,54.0,1.0,3,1.0,
111,111.0,58.0,55.0,1.0,3,0.0,
112,112.0,67.0,55.0,1.0,3,0.0,
113,113.0,41.0,55.0,1.0,3,0.0,
114,114.0,55.0,56.0,1.0,3,0.0,
115,115.0,64.0,56.0,1.0,3,0.0,
116,116.0,41.0,56.0,1.0,3,0.0,
117,117.0,57.0,57.0,1.0,3,1.0,
118,118.0,65.0,57.0,1.0,3,1.0,
119,119.0,41.0,57.0,1.0,3,1.0,
120,120.0,53.0,58.0,1.0,3,0.0,
121,121.0,53.0,59.0,1.0,3,0.0,
122,122.0,70.0,60.0,1.0,3,1.0,
123,123.0,74.0,60.0,1.0,3,1.0,
124,124.0,53.0,60.0,1.0,3,1.0,
125,125.0,69.0,61.0,1.0,3,0.0,
126,126.0,72.0,61.0,1.0,3,0.0,
127,127.0,53.0,61.0,1.0,3,0.0,
128,128.0,67.0,62.0,1.0,3,0.0,
129,129.0,70.0,62.0,1.0,3,0.0,
130,130.0,53.0,62.0,1.0,3,0.0,
131,131.0,67.0,63.0,1.0,3,1.0,
132,132.0,70.0,63.0,1.0,3,1.0,
133,133.0,53.0,63.0,1.0,3,1.0,
134,134.0,65.0,64.0,1.0,3,0.0,
135,135.0,69.0,64.0,1.0,3,0.0,
136,136.0,53.0,64.0,1.0,3,0.0,
137,137.0,65.0,65.0,1.0,3,0.0,
138,138.0,69.0,65.0,1.0,3,0.0,
139,139.0,53.0,65.0,1.0,3,0.0,
140,140.0,65.0,66.0,1.0,3,1.0,
141,141.0,69.0,66.0,1.0,3,1.0,
142,142.0,53.0,66.0,1.0,3,1.0,
143,143.0,67.0,67.0,1.0,3,0.0,
144,144.0,70.0,67.0,1.0,3,0.0,
145,145.0,53.0,67.0,1.0,3,0.0,
146,146.0,64.0,68.0,1.0,3,0.0,
147,147.0,67.0,68.0,1.0,3,0.0,
148,148.0,53.0,68.0,1.0,3,0.0,
149,149.0,65.0,69.0,1.0,3,1.0,
150,150.0,69.0,69.0,1.0,3,1.0,
151,151.0,53.0,69.0,1.0,3,1.0,
152,152.0,53.0,70.0,1.0,3,0.0,
153,153.0,53.0,71.0,1.0,3,0.0,
154,154.0,65.0,72.0,1.0,3,1.0,
155,155.0,69.0,72.5,0.5,3,0.0,
156,156.0,74.0,73.0,0.5,3,0.0,
157,157.0,77.0,73.5,0.5,3,0.0,
158,158.0,81.0,74.0,1.0,3,0.0,
159,159.0,65.0,74.5,0.5,3,0.0,
160,160.0,64.0,75.0,1.0,3,1.0,
161,161.0,67.0,75.5,0.5,3,0.0,
162,162.0,72.0,76.0,0.5,3,0.0,
163,163.0,76.0,76.5,0.5,3,0.0,
164,164.0,79.0,77.0,1.0,3,0.0,
165,165.0,64.0,77.5,0.5,3,0.0,
166,166.0,62.0,78.0,1.0,3,1.0,
167,167.0,65.0,78.5,0.5,3,0.0,
168,168.0,71.0,79.0,0.5,3,0.0,
169,169.0,74.0,79.5,0.5,3,0.0,
170,170.0,77.0,80.0,1.0,3,0.0,
171,171.0,62.0,80.5,0.5,3,0.0,
172,172.0,60.0,81.0,1.0,3,1.0,
173,173.0,64.0,81.5,0.5,3,0.0,
174,174.0,67.0,82.0,0.5,3,0.0,
175,175.0,72.0,82.5,0.5,3,0.0,
176,176.0,76.0,83.0,1.0,3,0.0,
177,177.0,60.0,83.5,0.5,3,0.0,
178,178.0,65.0,84.0,2.0,3,1.0,
179,179.0,69.0,84.5,0.5,3,0.0,
180,180.0,74.0,85.0,0.5,3,0.0,
181,181.0,73.0,85.5,0.5,3,0.0,
182,182.0,76.0,86.0,0.5,3,0.0,
183,183.0,74.0,86.5,0.5,3,0.0,
184,184.0,77.0,87.0,0.5,3,1.0,
185,185.0,76.0,87.5,0.5,3,0.0,
186,186.0,79.0,88.0,0.5,3,0.0,
187,187.0,77.0,88.5,0.5,3,0.0,
188,188.0,81.0,89.0,0.5,3,0.0,
189,189.0,80.0,89.5,0.5,3,0.0,
190,190.0,81.0,90.0,1.0,3,1.0,
191,191.0,64.0,92.0,1.0,3,0.0,
192,192.0,72.0,92.0,1.0,3,0.0,
193,193.0,54.0,92.0,1.0,3,0.0,
194,194.0,62.0,93.0,1.0,3,1.0,
195,195.0,71.0,93.0,1.0,3,1.0,
196,196.0,55.0,93.0,1.0,3,1.0,
197,197.0,42.0,95.0,1.0,3,0.0,
198,198.0,43.0,96.0,1.0,3,1.0,
199,199.0,76.0,98.0,1.0,3,0.0,
200,200.0,84.0,98.0,1.0,3,0.0,
201,201.0,66.0,98.0,1.0,3,0.0,
202,202.0,74.0,99.0,1.0,3,1.0,
203,203.0,83.0,99.0,1.0,3,1.0,
204,204.0,67.0,99.0,1.0,3,1.0,
205,205.0,78.0,101.0,1.0,3,0.0,
206,206.0,79.0,102.0,1.0,3,1.0,
207,207.0,64.0,104.0,1.0,3,0.0,
208,208.0,72.0,104.0,1.0,3,0.0,
209,209.0,54.0,104.0,1.0,3,0.0,
210,210.0,62.0,105.0,1.0,3,1.0,
211,211.0,71.0,105.0,1.0,3,1.0,
212,212.0,55.0,105.0,1.0,3,1.0,
213,213.0,42.0,107.0,1.0,3,0.0,
214,214.0,43.0,108.0,1.0,3,1.0,
215,215.0,77.0,111.0,1.5,3,1.0,
216,216.0,77.0,112.5,0.5,3,0.0,
217,217.0,77.0,113.0,1.0,3,0.0,
218,218.0,81.0,114.0,1.5,3,1.0,
219,219.0,77.0,114.0,0.0,3,1.0,
220,220.0,79.0,114.0,0.0,3,1.0,
221,221.0,79.0,115.5,0.5,3,0.0,
222,222.0,77.0,116.0,1.0,3,0.0,
223,223.0,77.0,117.0,1.5,3,1.0,
224,224.0,77.0,118.5,0.5,3,0.0,
225,225.0,77.0,119.0,1.0,3,0.0,
226,226.0,81.0,120.0,1.5,3,1.0,
227,227.0,77.0,120.0,0.0,3,1.0,
228,228.0,79.0,120.0,0.0,3,1.0,
229,229.0,79.0,121.5,0.5,3,0.0,
230,230.0,77.0,122.0,1.0,3,0.0,
231,231.0,76.0,123.0,1.0,3,1.0,
232,232.0,60.0,123.0,0.5,3,1.0,
233,233.0,67.0,123.5,0.5,3,0.0,
234,234.0,64.0,124.0,0.5,3,0.0,
235,235.0,67.0,124.5,0.5,3,0.0,
236,236.0,76.0,125.0,1.0,3,0.0,
237,237.0,60.0,125.0,0.5,3,0.0,
238,238.0,67.0,125.5,0.5,3,0.0,
239,239.0,79.0,126.0,2.0,3,1.0,
240,240.0,59.0,126.0,0.5,3,1.0,
241,241.0,67.0,126.5,0.5,3,0.0,
242,242.0,62.0,127.0,0.5,3,0.0,
243,243.0,67.0,127.5,0.5,3,0.0,
244,244.0,77.0,128.0,1.0,3,0.0,
245,245.0,59.0,128.0,0.5,3,0.0,
246,246.0,67.0,128.5,0.5,3,0.0,
247,247.0,76.0,129.0,1.0,3,1.0,
248,248.0,60.0,129.0,0.5,3,1.0,
249,249.0,67.0,129.5,0.5,3,0.0,
250,250.0,64.0,130.0,0.5,3,0.0,
251,251.0,67.0,130.5,0.5,3,0.0,
252,252.0,76.0,131.0,1.0,3,0.0,
253,253.0,60.0,131.0,0.5,3,0.0,
254,254.0,67.0,131.5,0.5,3,0.0,
255,255.0,79.0,132.0,2.0,3,1.0,
256,256.0,59.0,132.0,0.5,3,1.0,
257,257.0,67.0,132.5,0.5,3,0.0,
258,258.0,62.0,133.0,0.5,3,0.0,
259,259.0,67.0,133.5,0.5,3,0.0,
260,260.0,77.0,134.0,1.0,3,0.0,
261,261.0,59.0,134.0,0.5,3,0.0,
262,262.0,67.0,134.5,0.5,3,0.0,
263,263.0,76.0,135.0,1.0,3,1.0,
264,264.0,60.0,135.0,0.5,3,1.0,
265,265.0,64.0,135.5,0.5,3,0.0,
266,266.0,67.0,136.0,0.5,3,0.0,
267,267.0,72.0,136.5,0.5,3,0.0,
268,268.0,76.0,137.0,1.0,3,0.0,
269,269.0,71.0,137.0,0.5,3,0.0,
270,270.0,72.0,137.5,0.5,3,0.0,
271,271.0,79.0,138.0,1.0,3,1.0,
272,272.0,69.0,138.0,2.0,3,1.0,
273,273.0,72.0,138.0,2.0,3,1.0,
274,274.0,77.0,139.0,1.0,3,0.0,
275,275.0,76.0,140.0,1.0,3,0.0,
276,276.0,67.0,140.0,1.0,3,0.0,
277,277.0,71.0,140.0,1.0,3,0.0,
278,278.0,76.0,141.0,1.0,3,1.0,
279,279.0,65.0,141.0,2.0,3,1.0,
280,280.0,69.0,141.0,2.0,3,1.0,
281,281.0,74.0,142.0,1.0,3,0.0,
282,282.0,72.0,143.0,1.0,3,0.0,
283,283.0,66.0,143.0,1.0,3,0.0,
284,284.0,72.0,144.0,1.5,3,1.0,
285,285.0,67.0,144.0,1.0,3,1.0,
286,286.0,74.0,145.5,0.5,3,0.0,
287,287.0,71.0,146.0,1.0,3,0.0,
288,288.0,77.0,147.0,1.5,3,1.0,
289,289.0,62.0,147.0,1.5,3,1.0,
290,290.0,77.0,148.5,0.5,3,0.0,
291,291.0,62.0,148.5,0.5,3,0.0,
292,292.0,77.0,149.0,1.0,3,0.0,
293,293.0,62.0,149.0,1.0,3,0.0,
294,294.0,81.0,150.0,1.5,3,1.0,
295,295.0,65.0,150.0,1.5,3,1.0,
296,296.0,77.0,150.0,0.0,3,1.0,
297,297.0,79.0,150.0,0.0,3,1.0,
298,298.0,62.0,150.0,0.0,3,1.0,
299,299.0,64.0,150.0,0.0,3,1.0,
300,300.0,79.0,151.5,0.5,3,0.0,
301,301.0,64.0,151.5,0.5,3,0.0,
302,302.0,77.0,152.0,1.0,3,0.0,
303,303.0,62.0,152.0,1.0,3,0.0,
304,304.0,77.0,153.0,1.5,3,1.0,
305,305.0,62.0,153.0,1.5,3,1.0,
306,306.0,77.0,154.5,0.5,3,0.0,
307,307.0,62.0,154.5,0.5,3,0.0,
308,308.0,77.0,155.0,1.0,3,0.0,
309,309.0,62.0,155.0,1.0,3,0.0,
310,310.0,81.0,156.0,1.5,3,1.0,
311,311.0,65.0,156.0,1.5,3,1.0,
312,312.0,77.0,156.0,0.0,3,1.0,
313,313.0,79.0,156.0,0.0,3,1.0,
