,nid,pitch,onset,duration,ts,label
0,0,39.0,0.0,1.0,3,1.0
1,1,51.0,0.0,1.0,3,1.0
2,2,79.0,1.0,1.0,3,0.0
3,3,82.0,1.0,1.0,3,0.0
4,4,77.0,2.0,1.0,3,0.0
5,5,80.0,2.0,1.0,3,0.0
6,6,75.0,3.0,1.0,3,1.0
7,7,79.0,3.0,1.0,3,1.0
8,8,74.0,4.0,1.0,3,0.0
9,9,77.0,4.0,1.0,3,0.0
10,10,72.0,5.0,1.0,3,0.0
11,11,75.0,5.0,1.0,3,0.0
12,12,70.0,6.0,1.0,3,1.0
13,13,74.0,6.0,1.0,3,1.0
14,14,68.0,7.0,1.0,3,0.0
15,15,72.0,7.0,1.0,3,0.0
16,16,67.0,8.0,1.0,3,0.0
17,17,70.0,8.0,1.0,3,0.0
18,18,51.0,8.0,1.0,3,0.0
19,19,63.0,8.0,1.0,3,0.0
20,20,70.0,9.0,4.0,3,1.0
21,21,65.0,9.0,1.0,3,1.0
22,22,50.0,9.0,1.0,3,1.0
23,23,62.0,9.0,1.0,3,1.0
24,24,63.0,10.0,1.0,3,0.0
25,25,48.0,10.0,1.0,3,0.0
26,26,60.0,10.0,1.0,3,0.0
27,27,62.0,11.0,2.0,3,0.0
28,28,46.0,11.0,1.0,3,0.0
29,29,58.0,11.0,1.0,3,0.0
30,30,44.0,12.0,1.0,3,1.0
31,31,56.0,12.0,1.0,3,1.0
32,32,72.0,13.0,1.0,3,0.0
33,33,63.0,13.0,1.0,3,0.0
34,34,43.0,13.0,1.0,3,0.0
35,35,55.0,13.0,1.0,3,0.0
36,36,74.0,14.0,1.0,3,0.0
37,37,65.0,14.0,1.0,3,0.0
38,38,41.0,14.0,1.0,3,0.0
39,39,53.0,14.0,1.0,3,0.0
40,40,75.0,15.0,2.0,3,1.0
41,41,67.0,15.0,2.0,3,1.0
42,42,39.0,15.0,1.0,3,1.0
43,43,51.0,15.0,1.0,3,1.0
44,44,60.0,16.0,1.0,3,0.0
45,45,72.0,17.0,1.0,3,0.0
46,46,68.0,17.0,1.0,3,0.0
47,47,56.0,17.0,1.0,3,0.0
48,48,70.0,18.0,2.0,3,1.0
49,49,67.0,18.0,2.0,3,1.0
50,50,58.0,18.0,1.0,3,1.0
51,51,58.0,18.0,3.0,3,1.0
52,52,60.0,19.0,1.0,3,0.0
53,53,68.0,20.0,0.5,3,0.0
54,54,65.0,20.0,1.0,3,0.0
55,55,62.0,20.0,1.0,3,0.0
56,56,67.0,20.5,0.25,3,0.0
57,57,68.0,20.75,0.25,3,0.0
58,58,67.0,21.0,1.0,3,1.0
59,59,63.0,21.0,1.0,3,1.0
60,60,74.0,22.0,1.0,3,0.0
61,61,75.0,23.0,1.0,3,0.0
62,62,55.0,24.0,1.0,3,1.0
63,63,58.0,24.0,1.0,3,1.0
64,64,63.0,24.0,1.0,3,1.0
65,65,82.0,25.0,1.0,3,0.0
66,66,79.0,26.0,1.0,3,0.0
67,67,56.0,27.0,1.0,3,1.0
68,68,60.0,27.0,1.0,3,1.0
69,69,65.0,27.0,1.0,3,1.0
70,70,77.0,27.5,0.5,3,0.0
71,71,79.0,28.0,0.5,3,0.0
72,72,80.0,28.5,0.5,3,0.0
73,73,82.0,29.0,0.5,3,0.0
74,74,84.0,29.5,0.5,3,0.0
75,75,84.0,30.0,0.5,3,1.0
76,76,58.0,30.0,1.0,3,1.0
77,77,62.0,30.0,1.0,3,1.0
78,78,65.0,30.0,1.0,3,1.0
79,79,68.0,30.0,1.0,3,1.0
80,80,82.0,30.5,0.5,3,0.0
81,81,80.0,31.0,0.5,3,0.0
82,82,79.0,31.5,0.5,3,0.0
83,83,77.0,32.0,0.5,3,0.0
84,84,74.0,32.5,0.5,3,0.0
85,85,75.0,33.0,0.33333334,3,1.0
86,86,51.0,33.0,1.0,3,1.0
87,87,63.0,33.0,1.0,3,1.0
88,88,70.0,33.333332,0.33333334,3,0.0
89,89,67.0,33.666668,0.33333334,3,0.0
90,90,70.0,34.0,0.33333334,3,0.0
91,91,67.0,34.333332,0.33333334,3,0.0
92,92,63.0,34.666668,0.33333334,3,0.0
93,93,62.0,35.0,0.33333334,3,0.0
94,94,46.0,35.0,1.0,3,0.0
95,95,58.0,35.0,1.0,3,0.0
96,96,65.0,35.333332,0.33333334,3,0.0
97,97,68.0,35.666668,0.33333334,3,0.0
98,98,67.0,36.0,0.33333334,3,1.0
99,99,39.0,36.0,1.0,3,1.0
100,100,51.0,36.0,1.0,3,1.0
101,101,70.0,36.333332,0.33333334,3,0.0
102,102,67.0,36.666668,0.33333334,3,0.0
103,103,75.0,37.0,0.33333334,3,0.0
104,104,43.0,37.0,1.0,3,0.0
105,105,55.0,37.0,1.0,3,0.0
106,106,70.0,37.333332,0.33333334,3,0.0
107,107,67.0,37.666668,0.33333334,3,0.0
108,108,68.0,38.0,0.33333334,3,0.0
109,109,46.0,38.0,1.0,3,0.0
110,110,58.0,38.0,1.0,3,0.0
111,111,65.0,38.333332,0.33333334,3,0.0
112,112,62.0,38.666668,0.33333334,3,0.0
113,113,63.0,39.0,1.0,3,1.0
114,114,39.0,39.0,1.0,3,1.0
115,115,51.0,39.0,1.0,3,1.0
