,nid,pitch,onset,duration,ts,label,rid
0,0.0,74.0,-1.0,0.75,3,0.0,
1,1.0,75.0,-0.25,0.25,3,0.0,
2,2.0,72.0,0.0,0.5,3,1.0,
3,3.0,70.0,0.5,0.5,3,0.0,
4,4.0,70.0,1.0,1.0,3,0.0,
5,5.0,62.0,1.0,1.0,3,0.0,
6,6.0,65.0,1.0,1.0,3,0.0,
7,7.0,70.0,2.0,1.0,3,0.0,
8,8.0,62.0,2.0,1.0,3,0.0,
9,9.0,65.0,2.0,1.0,3,0.0,
10,10.0,69.0,3.0,1.0,3,1.0,
11,11.0,63.0,3.0,1.0,3,1.0,
12,12.0,65.0,3.0,1.0,3,1.0,
13,13.0,75.0,5.0,0.75,3,0.0,
14,14.0,77.0,5.75,0.25,3,0.0,
15,15.0,74.0,6.0,0.5,3,1.0,
16,16.0,72.0,6.5,0.5,3,0.0,
17,17.0,72.0,7.0,1.0,3,0.0,
18,18.0,65.0,7.0,1.0,3,0.0,
19,19.0,63.0,7.0,1.0,3,0.0,
20,20.0,72.0,8.0,1.0,3,0.0,
21,21.0,65.0,8.0,1.0,3,0.0,
22,22.0,63.0,8.0,1.0,3,0.0,
23,23.0,70.0,9.0,1.0,3,1.0,
24,24.0,65.0,9.0,1.0,3,1.0,
25,25.0,62.0,9.0,1.0,3,1.0,
26,26.0,74.0,11.0,0.75,3,0.0,
27,27.0,58.0,11.0,0.75,3,0.0,
28,28.0,75.0,11.75,0.25,3,0.0,
29,29.0,60.0,11.75,0.25,3,0.0,
30,30.0,77.0,12.0,0.5,3,1.0,
31,31.0,62.0,12.0,0.5,3,1.0,
32,32.0,53.0,12.0,7.0,3,1.0,
33,33.0,79.0,12.5,0.5,3,0.0,
34,34.0,63.0,12.5,0.5,3,0.0,
35,35.0,75.0,13.0,0.5,3,0.0,
36,36.0,60.0,13.0,0.5,3,0.0,
37,37.0,72.0,13.5,0.5,3,0.0,
38,38.0,57.0,13.5,0.5,3,0.0,
39,39.0,74.0,14.0,0.5,3,0.0,
40,40.0,58.0,14.0,0.5,3,0.0,
41,41.0,75.0,14.5,0.5,3,0.0,
42,42.0,60.0,14.5,0.5,3,0.0,
43,43.0,77.0,15.0,0.5,3,1.0,
44,44.0,62.0,15.0,0.5,3,1.0,
45,45.0,79.0,15.5,0.5,3,0.0,
46,46.0,63.0,15.5,0.5,3,0.0,
47,47.0,75.0,16.0,0.5,3,0.0,
48,48.0,60.0,16.0,0.5,3,0.0,
49,49.0,72.0,16.5,0.5,3,0.0,
50,50.0,57.0,16.5,0.5,3,0.0,
51,51.0,74.0,17.0,0.5,3,0.0,
52,52.0,58.0,17.0,0.5,3,0.0,
53,53.0,75.0,17.5,0.5,3,0.0,
54,54.0,60.0,17.5,0.5,3,0.0,
55,55.0,77.0,18.0,0.5,3,1.0,
56,56.0,62.0,18.0,1.0,3,1.0,
57,57.0,82.0,18.5,0.5,3,0.0,
58,58.0,81.0,19.0,0.5,3,0.0,
59,59.0,79.0,19.5,0.5,3,0.0,
60,60.0,77.0,20.0,0.5,3,0.0,
61,61.0,76.0,20.5,0.5,3,0.0,
62,62.0,74.0,21.0,0.5,3,1.0,
63,63.0,72.0,21.5,0.5,3,0.0,
64,64.0,71.0,22.0,0.5,3,0.0,
65,65.0,70.0,22.5,0.5,3,0.0,
66,66.0,69.0,23.0,0.5,3,0.0,
67,67.0,67.0,23.5,0.5,3,0.0,
68,68.0,72.0,24.0,0.75,3,1.0,
69,69.0,74.0,24.75,0.25,3,0.0,
70,70.0,60.0,25.0,1.0,3,0.0,
